Designator,Footprint,Quantity,Value,MPN
J1,0530470410,1,0530470410,0530470410
J2,SFH11-PBPC-D10-ST-BK,1,SFH11-PBPC-D10-ST-BK,SFH11-PBPC-D10-ST-BK
